City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Dasoguz,TM,84.2,broken clouds,41.84,59.97,Hotel Erik
573,Gombe,NG,75.74,overcast clouds,10.29,11.17,Custodian Hotel Gombe
574,Roncade,IT,80.01,light rain,45.63,12.37,Ca' Belvedere
575,Sao Bernardo,BR,87.6,broken clouds,-3.36,-42.42,GUARDA CIVIL MUNICIPAL GCM
581,Ponta Delgada,PT,75.2,few clouds,37.73,-25.67,Vila Nova Hotel
603,Axim,GH,75.38,few clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
608,West Lafayette,US,84.99,scattered clouds,40.43,-86.91,Hilton Garden Inn West Lafayette Wabash Landing
609,Sangueya,GN,77.22,overcast clouds,10.7,-14.37,
615,Rayachoti,IN,79.07,light rain,14.05,78.75,Swetha lodge
620,Kumluca,TR,85.17,clear sky,36.37,30.29,TurkuazKöy
622,Isabela,PH,78.53,broken clouds,6.71,121.97,Isawad Resort
627,Neyshabur,IR,80.64,clear sky,36.21,58.8,Amiran Hotel
630,Aden,YE,85.87,overcast clouds,12.78,45.04,Sama Emirate Hotel
633,Peoria,US,84.0,clear sky,40.77,-89.77,
634,Nioro,GM,78.98,broken clouds,13.35,-15.75,
637,Mandiana,GN,75.16,overcast clouds,10.63,-8.68,La maison De Metre Malick
640,Puerto Cabezas,NI,86.0,haze,14.04,-83.39,Hotel Caribe
641,Summerville,US,81.0,scattered clouds,33.02,-80.18,Sleep Inn Summerville-Charleston
649,Marinette,US,80.6,few clouds,45.1,-87.63,AmericInn by Wyndham Menominee
659,Utrera,ES,87.8,clear sky,37.19,-5.78,Hospederia Santa Clara
662,Moussoro,TD,79.84,broken clouds,13.64,16.49,Pharmacie alnadja Moussoro
663,Rumonge,BI,75.29,scattered clouds,-3.97,29.44,Iratiro Tours
667,Havelock,US,89.6,few clouds,34.88,-76.9,Sherwood Motel
669,Port-Gentil,GA,77.0,broken clouds,-0.72,8.78,Fengshui Residence
671,Bensonville,LR,77.0,light rain,6.45,-10.61,
673,Huicungo,PE,82.63,broken clouds,-7.28,-76.8,Gran Pajaten Trek
674,Motril,ES,82.0,clear sky,36.75,-3.52,Elba Motril Hotel Beach & Business Hotel
677,Eresos,GR,80.6,clear sky,39.17,25.93,Studio Aspa
686,Mahon,ES,77.0,few clouds,39.89,4.27,ARTIEM Capri
689,Turbat,PK,87.19,few clouds,26.0,63.04,Mubashar Quarters
690,Cartagena,CO,86.0,broken clouds,10.4,-75.51,Allure Chocolat
693,Segou,ML,77.94,overcast clouds,13.43,-6.22,Comme chez soi
694,Alexandria,EG,80.6,clear sky,31.22,29.96,Royal Crown Hotel
696,Mahibadhoo,MV,84.27,clear sky,3.78,72.97,Omadhoo Inn
697,El Tarra,CO,87.67,moderate rain,8.58,-73.09,TOS.corp
698,Labrea,BR,89.6,clear sky,-7.26,-64.8,Hotel Novo Horizonte
711,Damavand,IR,86.0,clear sky,35.72,52.06,آپارتمان زمانیان
723,Annau,TM,87.8,clear sky,37.89,58.52,Buzmein Sokak
724,Iracoubo,GF,83.25,few clouds,5.48,-53.2,Le Gite D Iracoubo
726,Kasongo-Lunda,CD,77.43,moderate rain,-6.47,16.82,
727,Teguise,ES,77.0,few clouds,29.06,-13.56,B&B La Casona de Nazaret
