City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
641,Summerville,40,US,scattered clouds,88,33.02,-80.18,81.0,3.87
642,Aanekoski,90,FI,light rain,93,62.69,25.82,62.6,9.17
643,Kidodi,60,TZ,broken clouds,52,-7.6,37.0,74.07,2.66
644,San Juan Bautista,75,PE,broken clouds,82,-14.01,-75.74,64.0,8.05
645,Iranshahr,20,IR,few clouds,44,27.2,60.68,93.2,11.41
646,Gravdal,100,NO,light rain,94,68.12,13.5,56.66,13.27
647,Zelenogorskiy,73,RU,broken clouds,76,55.03,87.0,57.2,4.47
648,Castelo,100,BR,light rain,91,-20.6,-41.18,60.22,4.18
649,Marinette,20,US,few clouds,61,45.1,-87.63,80.6,10.29
650,Bondo,100,CD,moderate rain,97,3.81,23.69,70.92,2.19
651,Stornoway,80,GB,light rain,87,58.21,-6.39,53.6,11.41
652,South River,35,US,scattered clouds,40,40.45,-74.39,91.99,1.01
653,Little Current,90,CA,overcast clouds,83,45.98,-81.92,73.0,4.7
654,Franca,76,BR,broken clouds,65,-20.54,-47.4,61.9,10.38
655,Arroyo,34,ES,scattered clouds,37,41.61,-4.8,73.99,5.82
656,Monte Alegre,8,BR,clear sky,33,-2.01,-54.07,96.1,2.98
657,Villa Del Rosario,40,CO,scattered clouds,36,7.83,-72.47,93.2,20.8
658,Altamira,40,BR,scattered clouds,49,-3.2,-52.21,93.2,2.24
659,Utrera,0,ES,clear sky,35,37.19,-5.78,87.8,11.41
660,Ust-Ishim,9,RU,clear sky,96,57.69,71.17,49.42,3.47
661,Ilo,52,PE,broken clouds,74,-17.64,-71.34,61.47,5.93
662,Moussoro,81,TD,broken clouds,73,13.64,16.49,79.84,11.86
663,Rumonge,38,BI,scattered clouds,57,-3.97,29.44,75.29,3.38
664,Moyale,100,KE,overcast clouds,60,3.52,39.06,71.38,14.38
665,Arcachon,20,FR,few clouds,77,44.59,-1.05,68.0,1.12
666,Krasnoborsk,0,RU,clear sky,82,61.56,45.93,58.46,3.8
667,Havelock,20,US,few clouds,52,34.88,-76.9,89.6,12.75
668,Patos,34,BR,scattered clouds,16,-7.02,-37.28,94.51,12.86
669,Port-Gentil,75,GA,broken clouds,78,-0.72,8.78,77.0,15.26
670,Tamsweg,100,AT,moderate rain,68,47.13,13.81,64.99,6.49
671,Bensonville,75,LR,light rain,94,6.45,-10.61,77.0,5.82
672,Tromso,75,NO,broken clouds,93,69.65,18.96,57.2,13.87
673,Huicungo,76,PE,broken clouds,52,-7.28,-76.8,82.63,0.6
674,Motril,0,ES,clear sky,51,36.75,-3.52,82.0,1.99
675,Yining,29,CN,light rain,88,29.04,114.56,74.82,1.03
676,Ginda,79,IN,light rain,89,30.69,78.49,64.94,0.49
677,Eresos,0,GR,clear sky,65,39.17,25.93,80.6,9.17
678,Guaruja,90,BR,moderate rain,88,-23.99,-46.26,63.0,3.36
679,Muleba,20,TZ,few clouds,83,-1.84,31.65,69.8,1.39
680,Maridi,18,SS,light rain,95,4.92,29.47,69.49,1.74
