City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Tagusao,PH,2022-06-11 18:56:38,9.1924,117.8141,79.38,79,100,4.34
182,Fuerte Olimpo,PY,2022-06-11 18:56:38,-21.0415,-57.8738,69.12,22,100,8.5
183,Soyo,AO,2022-06-11 18:56:39,-6.1349,12.3689,74.68,89,94,6.93
184,Sibu,MY,2022-06-11 18:56:39,2.3,111.8167,73.71,100,20,1.14
185,Los Alamos,US,2022-06-11 18:56:40,35.8881,-106.307,94.3,12,0,10.36
186,Quelimane,MZ,2022-06-11 18:56:40,-17.8786,36.8883,66.15,72,20,5.75
187,Upernavik,GL,2022-06-11 18:56:41,72.7868,-56.1549,30.45,79,25,14.09
188,Katsuura,JP,2022-06-11 18:56:41,35.1333,140.3,64.92,94,100,23.42
189,Campbell River,CA,2022-06-11 18:56:42,50.0163,-125.2446,61.18,72,75,6.91
190,Sibolga,ID,2022-06-11 18:56:42,1.7427,98.7792,74.75,93,100,1.74
191,Port Blair,IN,2022-06-11 18:56:42,11.6667,92.75,80.64,89,40,4.61
192,Cairns,AU,2022-06-11 18:55:14,-16.9167,145.7667,64.35,76,92,10.36
193,Egvekinot,RU,2022-06-11 18:56:43,66.3167,-179.1667,34.74,60,90,3.74
194,Russell,US,2022-06-11 18:56:43,32.3502,-85.1999,90.91,45,52,2.15
195,Ust-Ishim,RU,2022-06-11 18:56:44,57.6935,71.1665,52.95,99,29,5.08
196,Alexandria,EG,2022-06-11 18:56:44,31.2156,29.9553,75.16,83,40,12.66
197,Dikson,RU,2022-06-11 18:56:45,73.5069,80.5464,42.15,74,100,16.35
198,Camana,PE,2022-06-11 18:56:45,-16.6228,-72.7111,66.27,71,1,9.26
199,Mahebourg,MU,2022-06-11 18:56:46,-20.4081,57.7,73.69,73,75,10.36
200,Kuandian,CN,2022-06-11 18:56:46,40.7286,124.7847,57.54,93,95,0.81
201,Esperance,AU,2022-06-11 18:56:47,-33.8667,121.9,57.65,75,77,16.51
202,Terra Santa,BR,2022-06-11 18:56:47,-2.1042,-56.4869,82.38,73,100,3.8
203,Acopiara,BR,2022-06-11 18:56:48,-6.0953,-39.4525,76.98,85,100,4.65
204,Padang,ID,2022-06-11 18:56:48,-0.9492,100.3543,71.65,97,100,2.08
205,Asfi,MA,2022-06-11 18:56:49,32.2994,-9.2372,70.29,87,66,5.19
206,Hailey,US,2022-06-11 18:56:49,43.5196,-114.3153,78.89,49,98,20.0
207,Thunder Bay,CA,2022-06-11 18:56:50,48.4001,-89.3168,64.31,55,40,2.3
